fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor
1,6.0,0.0,1,0.03755888715877586,-0.8748478185999526,1,0.5237645294618152,-163.3728986530809,0.8547311710918937,4.865424757340987,5.692345057599282,0.8123290007011599,0.9999999999999546,1.0000005052766474,0.4,0.36666666666666664,1.090909090909091,0.0,0.688730012118931,0.502717411395741,0.7207785414199228,0.0,0.7064678665743767,0.4841911762611489,0.7064678665743767,-5.682719059839841,-1.7688598928878672,-2.8259172443879175,-1.586737104589285,-5.5400384817643005,-1.6261793148123265,-2.8576007327468145,-1.6261793148123265,0.8712219756400781,0.9059059059059055,1.1354562487518622,0.32532532532532515,0.6363636363636364,1.0903135332248342,0.8867548275850548,0.7379462728399375,0.20147005893793168,-0.5378823175442571
1,6.0,1.0,1,1.246056766880128,0.5683560527506439,1,0.6272752394646965,-166.89288621888508,0.5315810708156121,4.140297518025286,7.788647386696391,0.8564304833566061,0.9999999999999476,1.0000005370689233,0.3,0.25,1.2,0.0,0.40543987393975517,0.4047564354237907,0.5651683858395569,0.0,0.40984351759652105,0.40984351759652105,0.5395332980673834,-5.32929191071631,-3.1685844702473323,-3.1722267136019338,-2.3173446038689653,-5.27203029375746,-3.1113228532884825,-3.1113228532884825,-2.427594401855342,0.7980017164407939,0.8058058058058054,1.4972369099516047,0.2852852852852852,0.5454545454545454,0.9957128049543009,0.898993178459264,0.8932933146039393,0.19243644022676007,-0.5183275787005229
1,6.0,2.0,1,0.7437522187780491,-0.35824511267084347,1,0.6902031047017644,-166.29915761366442,1.461144037232727,7.147143679992245,4.891470996609124,0.9113042204273617,0.9999999999999578,1.0000008433984902,0.21666666666666665,0.4333333333333333,0.5,0.0,0.4209520036489611,0.5526754743339456,0.7098710135916558,0.0,0.4320572148960268,0.5531634393010583,0.6927382585205419,-5.739735286005217,-3.323582216946678,-2.5675243642609993,-1.665263580780901,-5.592206276754293,-3.176053207695754,-2.4988022194239226,-1.7182710393078802,0.8712219756400782,1.0060060060060056,2.2671001465003933,0.5255255255255253,0.6363636363636364,1.0576291745867328,0.8550891362381222,0.7961676873947996,0.2231526804120569,-0.3855536834111884
1,6.0,3.0,1,1.5954057322582855,2.4153848548681296,2,0.37134188444458305,-162.68343120610385,1.0073020414649838,2.641606400302161,2.6224571097466494,0.7097022238617545,0.9999999999999798,1.0000005870256043,0.6333333333333333,0.55,1.1515151515151514,0.0,0.22234874251829953,0.3580072946079964,0.6331712069175194,0.0,0.2292859812626848,0.421096646583153,0.7286904116061722,-6.63017106984864,-5.155960869786586,-4.2565214623439225,-2.4321376514829556,-6.429569710034315,-4.955359509972261,-3.7220994661662496,-1.744403911578833,0.8342974823706741,1.1461461461461455,2.603339243239814,0.4454454454454452,0.5454545454545454,0.9859513746973125,0.9361015028817697,0.9398320382111341,0.10926056838050668,-0.44939495489537107
1,6.0,4.0,1,1.0554339007323859,0.24345054441299085,1,0.7131930424007489,-164.9770067907521,0.07674918424991015,7.06126987289002,92.00449414416137,0.7797063363101915,0.9999999999999517,1.0000012268700824,0.26666666666666666,0.18333333333333332,1.4545454545454546,0.0,0.49684900661131637,0.5358667069116344,0.522441310640813,0.0,0.5068677604089419,0.5068677604089419,0.46853367885562136,-5.4710455199173795,-2.7527619882211365,-2.539294373795603,-2.6127453279161954,-5.362904773235383,-2.6446212415391397,-2.6446212415391397,-2.850203270479037,0.789922970467969,1.0060060060060056,3.6776091016010306,0.5655655655655653,0.6818181818181818,0.9768135721943533,0.846584091851186,0.6920072137776354,0.2773559312140575,-0.448097955710957
1,6.0,5.0,1,0.8321071972266683,0.17654262260836218,1,0.6297138392515624,-167.2447478536794,1.1896794919906954,6.030608586927192,5.069103592629096,0.8445135566071236,0.9999999999999852,1.0000001922265715,0.3,0.36666666666666664,0.8181818181818182,0.0,0.7585333267991425,0.5265566183410126,0.5106195560795699,0.0,0.7803942335317434,0.7585275467830856,0.5376419191536697,-5.410727442784605,-1.3065103552057815,-2.5616730977470286,-2.647904197882384,-5.259158654984962,-1.154941567406138,-1.2699419422761866,-2.431614502585215,0.8198960466731063,1.0660660660660657,0.7852541576952018,0.6456456456456453,0.4090909090909091,1.0704877383906952,0.9129320178931584,0.7285287298056438,0.20630792881231094,-0.5960548386848669
1,6.0,6.0,1,1.4532612691324722,1.039524428565973,2,0.6884559255823806,-162.9250938865042,1.4844073103260638,5.458070206807378,3.676935682571155,0.8738135954906461,0.9999999999999739,1.0000004208257856,0.4,0.4833333333333333,0.8275862068965518,0.0,0.6004830076967544,0.6700138189409358,0.6745990617984182,0.0,0.6408737371964823,0.6408737371964823,0.6884467407111675,-5.6821667571486705,-2.270122172581523,-1.8750365083322569,-1.8489823937940169,-5.324051192194611,-1.9120066076274638,-1.9120066076274638,-1.6587255015488256,0.8193545692026283,0.8258258258258254,0.7671581176779302,0.2852852852852852,0.45454545454545453,1.0118998763007694,0.9434967155276889,0.9458246529381362,0.11181489155424663,-0.500479459586046
1,6.0,7.0,1,1.126741000534631,0.48632525613461475,1,0.7326231096044513,-169.59436644108516,0.40239649741791556,4.133318698334666,10.271756153090813,0.7600252373046277,0.9999999999999755,1.000000274929421,0.11666666666666665,0.16666666666666666,0.7,0.0,0.6684595301165946,0.5000589556859549,0.7526141539099415,0.0,0.6716410273817683,0.6716410273817683,0.7683918943134969,-6.074734541338819,-2.014020344252425,-3.037009130527531,-1.5028033442816078,-6.045959123307455,-1.9852449262210605,-1.9852449262210605,-1.400293139607271,0.7334016806848126,0.7857857857857854,2.543345761304648,0.2652652652652651,0.5,0.8887360640497173,0.8921727018233903,0.845133435242628,0.16400974532734136,-0.4831715056727014
1,6.0,8.0,1,1.0454275080186863,0.14300055619778274,1,0.675356344240448,-166.06774377507742,0.3100254652873115,7.724809353028402,24.91669303961708,0.9791563691674995,0.9999999999999827,1.0000006448214407,0.31666666666666665,0.15,2.111111111111111,0.0,0.6762157026772765,0.6447785088133028,0.7073333094514357,0.0,0.7136637063752829,0.7136637063752829,0.7136637063752829,-5.665449451500649,-1.8343835696715467,-2.0124894024049165,-1.658088341440874,-5.368166893742137,-1.5371010119130344,-1.5371010119130344,-1.5371010119130344,0.8712219756400781,1.0260260260260257,2.0197857568198785,0.5455455455455454,0.5,1.0611801537192427,0.9381447903451913,0.9561261600968289,0.12727994329885456,-0.5266474047412063
1,6.0,9.0,1,1.5212523154931696,2.323498853750322,2,0.6384812212479747,-165.74492026568916,0.8849240302016737,6.716728630818987,7.5901754292831765,0.8089194328303269,0.9999999999999816,1.0000016933504252,0.3333333333333333,0.36666666666666664,0.9090909090909091,0.0,0.5940216634891793,0.6079563962754478,0.6771910411529696,0.0,0.6047975151996592,0.6047975151996592,0.653282206880291,-5.898299535270795,-2.3945818335717846,-2.312390605654414,-1.904023931948689,-5.793207831785393,-2.2894901300863824,-2.2894901300863824,-2.008608234520446,0.8861648888081239,1.0060060060060056,1.8418966807997108,0.4854854854854853,0.6818181818181818,1.0363525335078465,0.8891986286229604,0.865076235920429,0.1990151886916098,-0.48634259726913365
