evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_ratio ps_squared loglikelihood mhl_norm mhl_sum x0 x1 x2 x3 x4
1 85.3303087520 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.528105 0.800314 1.957476 4.481786 3.735116
2 73.1183941227 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -1.954556 1.900177 -0.302714 -0.206438 0.821197
3 77.3357037665 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.288087 2.908547 1.522075 0.243350 0.887726
4 78.5396269131 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.667349 2.988158 -0.410317 0.626135 -1.708191
5 84.5829102902 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -5.000000 1.307237 1.728872 -1.484330 4.539509
6 74.0398250987 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.908731 0.091517 -0.374368 3.065558 2.938718
7 23.2646717993 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.309895 0.756325 -1.775571 -3.961593 -0.695824
8 76.2678971337 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.312698 2.460581 2.404760 -0.774654 -0.604606
9 75.6725934363 0.0000000000 1.0000000000 1.8499017860 1.0000000000 2.1134807948 0.9434058819 1.5076299518 -0.2754382044 1.6300053714 -0.2977957237 0.7082983912 2.2729480716 -93.2647899085 8.6115619011 22.2814191154 0.225361 1.481577 1.939648 -2.431942 -4.244222
10 80.8978892050 0.0000000000 1.0000000000 1.8499017860 1.0000000000 2.1134807948 0.9434058819 1.5076299518 -0.2754382044 1.6300053714 -0.2977957237 0.7082983912 2.2729480716 -93.2647899085 8.6115619011 22.2814191154 -1.085400 0.353418 -4.311664 -0.073010 -0.540707
11 55.1966442047 0.0000000000 1.0000000000 1.8499017860 1.0000000000 2.1134807948 0.9434058819 1.5076299518 -0.2754382044 1.6300053714 -0.2977957237 0.7082983912 2.2729480716 -93.2647899085 8.6115619011 22.2814191154 -3.216300 1.799444 -2.000452 -1.295990 -0.134369
12 65.6266243138 0.0000000000 1.0000000000 1.8499017860 1.0000000000 2.1134807948 0.9434058819 1.5076299518 -0.2754382044 1.6300053714 -0.2977957237 0.7082983912 2.2729480716 -93.2647899085 8.6115619011 22.2814191154 -0.922179 0.879885 -1.575585 -0.515971 1.050075
13 66.9109507532 0.0000000000 1.0000000000 1.8499017860 1.0000000000 2.1134807948 0.9434058819 1.5076299518 -0.2754382044 1.6300053714 -0.2977957237 0.7082983912 2.2729480716 -93.2647899085 8.6115619011 22.2814191154 -2.763581 2.786888 -3.065687 -0.696103 -0.724406
14 74.0043927429 0.0000000000 1.0000000000 1.8499017860 1.0000000000 2.1134807948 0.9434058819 1.5076299518 -0.2754382044 1.6300053714 -0.2977957237 0.7082983912 2.2729480716 -93.2647899085 8.6115619011 22.2814191154 -0.169361 0.696922 -3.646516 -0.839140 -1.294892
