evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_ratio ps_squared loglikelihood mhl_norm mhl_sum x0 x1 x2 x3 x4
1 3780112.6641125893 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.528105 0.800314 1.957476 4.481786 3.735116
2 1116192.5137540214 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -1.954556 1.900177 -0.302714 -0.206438 0.821197
3 886407.9741101647 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.288087 2.908547 1.522075 0.243350 0.887726
4 12200782.1494280938 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.667349 2.988158 -0.410317 0.626135 -1.708191
5 8321072.9732064251 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -5.000000 1.307237 1.728872 -1.484330 4.539509
6 1631514.5174436469 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.908731 0.091517 -0.374368 3.065558 2.938718
7 6942191.1320871981 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.309895 0.756325 -1.775571 -3.961593 -0.695824
8 5708835.9408069281 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.312698 2.460581 2.404760 -0.774654 -0.604606
9 18391645.8757812530 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 0.633179 3.892583 2.019789 -2.930681 -2.395920
10 119907.7285384603 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 -0.781932 2.486177 -3.258578 0.955960 1.824420
11 4048229.4825912537 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 -1.504909 2.383417 -0.446933 2.682793 -0.194694
12 97928.2134111426 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 -1.386859 1.124071 -0.165800 0.918413 1.834468
13 3719669.8091207156 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 -2.500835 3.354527 -1.537713 2.165627 -0.073927
14 232820.9287317987 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 -0.441403 3.395802 -2.428769 -0.088470 1.656051
15 4452776.0715209981 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 -1.412346 1.697003 -0.801671 2.057699 3.856443
16 3651476.7595424810 0.0000000000 1.0000000000 1.9012416874 1.0000000000 2.1480320618 0.9591966109 1.7254960896 0.5204015154 1.8655558620 0.5626428849 0.8106539027 2.9773367552 -84.1535171658 7.0680599564 18.3576276981 -0.799103 3.504957 -0.457974 0.231139 0.000319
17 5988987.8739941753 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 1.566461 1.186960 1.301975 0.128091 -0.706418
18 1222882.1709897430 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 -1.129204 0.522182 1.640060 -2.004275 2.644991
19 305065.0854602534 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 0.590853 1.114981 -2.945111 -0.595110 1.803389
20 2127113.5196530269 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 0.157561 -0.265759 -0.681608 1.803559 3.315980
21 4362870.9102536896 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 -5.000000 2.645124 -2.673615 0.793887 3.827743
22 585170.4551309195 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 -3.798545 -1.846855 -3.103715 -1.228843 2.164578
23 7125453.4809055161 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 -2.615035 0.982257 -3.866122 -2.017404 4.181230
24 539269.4067411830 0.0000000000 1.0000000000 1.7950267977 2.0000000000 2.0743257292 0.9252771658 1.6710009635 0.0588898545 1.6682541695 0.0183904166 0.7850515922 2.7922442201 -66.6431259383 4.6126273985 12.4501888959 -0.825121 0.150299 -1.643946 -1.360742 2.046192
25 827319.3998256993 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 -1.862356 -0.565017 -1.651090 1.078673 0.888415
26 1614621.6982660752 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 -0.278197 0.204992 -2.279523 2.453598 2.933849
27 2619152.8963614013 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 -0.327007 2.321979 -1.090609 0.204206 0.353381
28 610248.8248072969 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 -0.604320 0.797248 -0.278239 -0.505085 1.149997
29 795649.1719568246 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 0.021082 3.111278 -5.000000 1.414885 2.687129
30 2055730.0730199295 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 -1.917070 1.691448 0.613197 2.117135 3.253536
31 347948.0910454656 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 0.313513 3.561040 -0.724707 -0.865013 1.858305
32 826697.1443569346 0.0000000000 1.0000000000 1.5848508003 3.0000000000 1.9657477470 0.8754160156 1.1374313747 0.0034424722 1.0090566868 -0.0265130888 0.5343757013 1.2937501323 -69.3548345595 6.7946191991 17.6376157495 -0.203862 4.025696 -0.347524 -0.238465 0.952022
33 451459.4258897461 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 1.165659 2.124087 -0.144235 -0.266717 1.307604
34 197352.3153912599 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 -3.305901 2.689015 -0.987582 1.188947 2.142187
35 180139.6341420052 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 -0.244364 0.395253 -0.531881 0.061159 1.807201
36 172689.2142357812 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 -2.169686 1.128115 -1.688741 0.705663 1.574789
37 1641931.4149150054 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 -1.856151 0.122214 -3.718222 0.946343 0.623630
38 72791.9085479626 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 -1.041474 1.972501 -4.030844 2.003413 1.664311
39 916718.7523278600 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 -0.292688 1.768213 -3.067471 0.617108 0.874767
40 5730621.3840547986 0.0000000000 1.0000000000 1.3281450229 4.0000000000 1.8630379681 0.8292963799 0.7221684012 0.0021856656 0.5547798124 -0.0145769079 0.3392813443 0.5215271997 -58.7147638275 6.6227789392 18.0341107049 -0.473288 4.136573 -1.446736 1.143903 4.038122
evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_ratio ps_squared loglikelihood mhl_norm mhl_sum x0 x1 x2 x3 x4
1 667114.1236322562 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.248691 -1.223513 -1.056344 -2.145937 1.730815
2 5131507.1273276815 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -4.603077 3.489624 -1.522414 0.638078 -0.498741
3 546051.1637526181 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 2.924216 -4.120281 -0.644834 -0.768109 2.267539
4 518874.2252988471 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.199783 -0.344856 -1.755717 0.084427 1.165630
5 75888.5541533776 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.201238 2.289447 1.803181 1.004989 1.801712
6 722682.7059549666 1.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -1.367456 -0.245780 -1.871539 -0.535776 1.060711
