evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_ratio ps_squared loglikelihood mhl_norm mhl_sum x0 x1 x2 x3 x4
1 12262.7404593483 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.528105 0.800314 1.957476 4.481786 3.735116
2 1324.4653093989 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -1.954556 1.900177 -0.302714 -0.206438 0.821197
3 2740.5552468152 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.288087 2.908547 1.522075 0.243350 0.887726
4 4248.1278966588 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.667349 2.988158 -0.410317 0.626135 -1.708191
5 91268.1052732871 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -5.000000 1.307237 1.728872 -1.484330 4.539509
6 38463.7814582535 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.908731 0.091517 -0.374368 3.065558 2.938718
7 8759.5394042539 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.309895 0.756325 -1.775571 -3.961593 -0.695824
8 4942.1245793942 0.0000000000 6.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.312698 2.460581 2.404760 -0.774654 -0.604606
9 95932.7126763971 0.0000000000 6.0000000000 1.8713547019 1.0000000000 2.0985405402 0.9360768465 1.5993940493 0.2833661584 1.7292180274 0.3063671956 0.7514100066 2.5580613248 -85.7658094843 7.7524286491 19.5386557899 1.103254 3.993500 -1.219409 0.077071 5.000000
10 9472.0044246496 0.0000000000 6.0000000000 1.8713547019 1.0000000000 2.0985405402 0.9360768465 1.5993940493 0.2833661584 1.7292180274 0.3063671956 0.7514100066 2.5580613248 -85.7658094843 7.7524286491 19.5386557899 -1.456669 2.370092 2.864384 2.850697 -0.180673
11 5698.2455428127 0.0000000000 6.0000000000 1.8713547019 1.0000000000 2.0985405402 0.9360768465 1.5993940493 0.2833661584 1.7292180274 0.3063671956 0.7514100066 2.5580613248 -85.7658094843 7.7524286491 19.5386557899 -1.777668 2.159057 2.773767 -0.705354 0.888127
12 5504.1771372493 0.0000000000 6.0000000000 1.8713547019 1.0000000000 2.0985405402 0.9360768465 1.5993940493 0.2833661584 1.7292180274 0.3063671956 0.7514100066 2.5580613248 -85.7658094843 7.7524286491 19.5386557899 -0.963031 2.934486 1.078758 0.316929 -0.820368
13 9395.4039688273 0.0000000000 6.0000000000 1.8713547019 1.0000000000 2.0985405402 0.9360768465 1.5993940493 0.2833661584 1.7292180274 0.3063671956 0.7514100066 2.5580613248 -85.7658094843 7.7524286491 19.5386557899 -0.708111 1.784108 3.861294 0.071966 0.958375
