fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_ratio,loglikelihood,mhl_norm,mhl_sum,std_y_last_1,mean_std_x_last_1,std_y_last_2,mean_std_x_last_2,std_y_last_5,mean_std_x_last_5,BFGS,DE,MLSL,Non-elitist,PSO,Same
1,1,0,0.0,0.4124278128504202,0.07242621441855861,0.6666666666666665,0.7896183937911503,0.00018684565148276342,2.9254667015797495e-09,7.657949791182126e-09,0.0002995565769302369,0.8991763118435354,0.9999999999999971,2.566084946595726e-12,0.9999999999999993,0.12244897959183675,0.07971014492753631,0.08699897225077081,0.3823529411764707,0.03765690376569038,0.22606098934927105,0.5726744186046513,0.055718475073313824,0.2777664632463241,1.369609995288198e-05,2.0678570160540394e-05,3.958661638966094e-05,0.0002130078848789822,1.9689443607890865e-06,2.845027438511661e-06,4.75345965536108e-06,2.9578677847844102e-05,0.4626532454152378,0.4435877474066726,0.4871822801580153,0.5919461052965704,0.6233151468671477,0.5241483033436505,0.6236456276716802,0.6719040793636273,0.4501105802912668,0.048158640226628927,9.637934799615128e-09,0.12356321839080464,0.6845425867507886,0.9305720155181708,0.949301216785763,0.991022001946299,0.04037711234550956,0.8106852928931432,7.713700427360609e-05,0.013573247781341242,0.026398676990792562,0.2269385504760589,0.5029912350628535,0.009944461246359707,0.5852937662196204,0.2269385504652788,0.9999999999999991,6.033433453961402e-10,1.1189421437364955e-09,7.060098556918564e-13,2.0077108707251294e-05,5.983467832742965e-13,1.604618864511357e-05,5.526390152978158e-13,2.0945100870027636e-05,1e-12,0.025821596245105632,1e-12,1e-12,0.025821596245105632,1e-12
1,1,1,0.0,0.39688759532795137,0.05532603071326044,0.6666666666666665,0.8208086857152448,0.00018684536792534938,3.835750831166077e-10,6.835277455688828e-09,0.0019692640175850377,0.8981387537660418,0.9999999999999921,1.566057278025142e-12,0.9999999999999988,0.09912536443148696,0.07427536231884066,0.08139773895169579,0.35882352941176465,0.03347280334728025,0.23536130568208405,0.5058139534883721,0.055718475073313824,0.24880516824823146,4.754686403783153e-06,7.817230797104272e-06,1.3725938990000072e-05,8.835182762932859e-05,9.479648932526364e-07,1.5690061700165306e-06,2.4423119784663708e-06,1.6851059320985385e-05,0.47452623040171393,0.4576666168393777,0.5026370764467947,0.610677460122654,0.6283424486244339,0.531901260765985,0.6308066207548373,0.6817991299907433,0.41530246054957476,0.03682719546742215,1.9023011886689457e-09,0.1091954022988505,0.6574021317694798,0.9030243325209032,0.9632751483474894,0.9839038274331116,0.030599794509934025,0.8059487062080994,3.064722362699175e-05,0.0063034748412373574,0.013090112603787972,0.3662114445487506,0.646646567122998,0.01284835257117489,0.5909290486989492,0.3662114445516711,0.9999999999999991,4.6364891285011636e-10,8.957573606229782e-10,7.329309764316429e-14,7.2508821268494284e-06,5.218464588230104e-14,5.227462493888508e-06,1.2013366011329084e-13,6.9570577341897075e-06,1e-12,0.00938967136249296,1e-12,1e-12,0.00938967136249296,1e-12
1,1,2,0.0,0.41878484726701615,0.07371958668053354,0.5555555555555556,0.7228697776655502,0.0001868424765345339,3.510113743117866e-08,5.880615102516628e-09,6.062926468855246e-06,0.8969027133762738,0.9999999999999959,1.1755209588533823e-12,0.9999999999999992,0.14577259475218673,0.07246376811594207,0.107876296365505,0.4147058823529412,0.11087866108786605,0.09257296984876216,0.6220930232558141,0.02932551319648099,0.4604966800245709,4.3648949294992565e-06,5.985412594661259e-06,1.0491996236910036e-05,6.977099049661029e-05,1.014089828295569e-06,1.3945280552178247e-06,2.117923580339616e-06,1.559373486715276e-05,0.47847654348802054,0.4623507514032134,0.507780738479819,0.6169196936921788,0.6296873635515102,0.533974978722331,0.6327227846943014,0.6844520236047602,0.4655729959773076,0.039660056657223886,1.7711210643450725e-08,0.0431034482758621,0.6935894050778916,0.9315053827516654,0.9607315851353088,0.992414819523781,0.004473298434913314,0.7791391434793852,1.98002683961044e-05,0.0035048718529370644,0.007976241084878204,0.367540435251899,0.36835180732904654,0.01116122198411378,0.5800875032811162,0.3675404352580875,0.9999999999999992,6.275541403736298e-10,1.158677443197534e-09,2.295401193164962e-14,5.120816072887907e-06,2.5953124218191674e-14,3.915240750558842e-06,2.460672836084066e-14,4.490777082355631e-06,1e-12,0.00469483568174648,1e-12,1e-12,0.00469483568174648,1e-12
1,1,3,0.0,0.4077797110737469,0.06270555490821951,0.6666666666666665,0.5099990265805031,0.0001868431798879826,1.789908593214285e-08,6.358797614744204e-09,2.891540431048039e-05,0.7340005008874727,0.9999999999999946,3.3339425987185915e-12,0.9999999999999988,0.12536443148688053,0.06884057971014501,0.10220231977683158,0.37352941176470594,0.041841004184100375,0.20349869954724978,0.5901162790697676,0.04692082111436955,0.3232614276006057,4.159300654726111e-06,6.8925256957023676e-06,1.2874414477070386e-05,7.803722150175056e-05,6.809958405840937e-07,1.1421016019816219e-06,1.8100090207002239e-06,1.3408504027510283e-05,0.4857754964354679,0.4710077603865636,0.5172888090252207,0.6284706454712151,0.6279754309695901,0.5313348366926077,0.6302826733403752,0.6810697557675046,0.4509016949679132,0.031161473087818706,4.985373463873905e-09,0.12068965517241387,0.6543865256604454,0.9720919471972486,0.9999999999999999,1.0,0.028211188232611845,0.7636931186576086,2.2417899860845454e-05,0.004013704431823788,0.007795384013599978,0.421903745845015,0.6189466167578039,0.0166959929627427,0.5886084325480598,0.42190374587280016,0.9999999999999992,6.216559144241283e-10,1.1382792226021133e-09,4.575633840402017e-14,4.6289965613150765e-06,3.2772496694635567e-14,3.4240555528814594e-06,2.5532188126472506e-14,4.7614256656566675e-06,1e-12,0.00469483568174648,1e-12,1e-12,0.00469483568174648,1e-12
1,1,4,0.0,0.5126194313490952,0.16881816983371795,0.6666666666666665,0.6967060434807719,0.00018684557363957152,3.2103552092957654e-08,5.522579409375176e-09,6.685704725136157e-06,0.8459517723014491,0.999999999999989,2.3326018783078988e-12,0.9999999999999996,0.11661807580174934,0.06521739130434782,0.10268242548818086,0.40000000000000013,0.07322175732217569,0.13259801560543302,0.5377906976744187,0.05865102639296197,0.2527226381030459,3.3167444519376845e-06,4.924921625711039e-06,8.804713855848874e-06,5.418238313611762e-05,7.478073055957619e-07,1.0760510629476832e-06,1.6225190459484534e-06,1.2477768494443086e-05,0.4932404506731271,0.4798604929379409,0.5270103439667149,0.6402734083774657,0.6304254417450665,0.5351133373988655,0.6337745566466615,0.6859062044482055,0.5133509268717855,0.028328611898017123,5.1150311066845125e-09,0.060344827586206906,0.6754957684236857,0.9599758417131073,0.9780794677809305,0.9974806323412715,0.033258567064874095,0.7980464276092292,1.3115172602988101e-05,0.004799544632985282,0.009928373265851366,0.3466668286091449,0.6244259498425483,0.0118845427555762,0.5896693327745888,0.3466668286132328,0.9999999999999992,6.536525043613091e-10,1.2227608912958546e-09,1.2503009601430042e-14,3.317397066335383e-06,9.961338895322503e-15,2.5290157537681955e-06,1.033647148044114e-14,2.9370158482590145e-06,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,5,0.0,0.4600714517438226,0.11022526145546525,0.8888888888888888,0.6956229297014757,0.00018684421964306955,4.772336915095271e-09,7.452767955446028e-09,0.00017397831846466632,0.8878527705726044,0.9999999999999923,2.277383092356847e-12,0.9999999999999988,0.09912536443148696,0.05797101449275371,0.10380267214799588,0.37352941176470594,0.02928870292887025,0.2695562236677331,0.6075581395348839,0.04105571847507324,0.36393081296114627,1.1619414942642351e-06,1.6586003433155886e-06,3.3792655829948244e-06,2.8400128120940116e-05,1.8569465405690805e-07,2.683760913199692e-07,4.822522613881767e-07,4.70130949229689e-06,0.4853680657019178,0.4705235307456793,0.5167553655012259,0.6278099915060689,0.6278319771610182,0.5311126432805974,0.6300762340823399,0.6807731524674733,0.404593989990377,0.028328611898017123,1.3339056900390616e-09,0.10344827586206895,0.6061368279158966,0.9351238543623924,0.9740414542018999,0.9946429150909577,0.08465957579503328,0.8403869243162145,4.331212869981095e-06,0.0,0.0,0.07072156981143543,0.47685431931333916,0.0022974920822111263,0.5833847673687484,0.0707215698298179,0.9999999999999993,7.278513219260646e-10,1.3554053560274525e-09,0.0,9.001478452098786e-07,2.4160589827904943e-15,8.824646046871138e-07,2.961220114567746e-15,1.153584143283139e-06,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,6,0.0,0.3740404411521022,0.041536539468863536,0.4444444444444445,0.7616536127279684,0.00018684412487863247,1.8265525800835123e-09,7.19246944593322e-09,0.00045565825553158586,0.84002249037383,0.9999999999999906,2.3205269916579856e-12,0.999999999999998,0.10787172011661812,0.05797101449275371,0.1094039054470709,0.37352941176470594,0.03347280334728025,0.2433429204453191,0.549418604651163,0.049853372434017516,0.29046326286505314,1.539477672264282e-06,2.0371320008574146e-06,3.157329671362299e-06,3.019981915421394e-05,2.9136221076406004e-07,3.8886713639713336e-07,5.269641695124063e-07,5.924820184496865e-06,0.46421145107463596,0.4454320555045254,0.48919831863734325,0.5943345342883511,0.6269288656734741,0.5297196355562499,0.6287884649793586,0.6789903038458373,0.42824174652420655,0.03682719546742215,6.234401888627878e-10,0.10344827586206895,0.6091524340249309,0.942666203772775,0.9633967611401323,0.990384330976074,0.04045781913388238,0.824789565657964,6.414533560824878e-06,0.005341392097142152,0.009992567653004998,0.25787982353264227,0.47906360729684094,0.010104435241757628,0.5818436719847453,0.2578798235328507,0.9999999999999993,7.897553471462118e-10,1.4088433878537747e-09,2.8471294929226605e-15,1.64335219806009e-06,3.5367481002178487e-15,1.2899193387161877e-06,4.311206484181013e-15,1.7021817864273294e-06,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,7,0.0,0.3505592512751607,0.0263242971556931,0.3333333333333333,0.4220267965274208,0.00018683670076097603,1.605153085043233e-08,4.55131856631093e-09,2.081834965364577e-05,0.7160132198485218,0.9999999999999847,1.4817944743136021e-12,0.9999999999999976,0.11370262390670553,0.08695652173913045,0.07579650565262074,0.3794117647058824,0.025104602510460247,0.3058812196490194,0.4418604651162792,0.049853372434017516,0.23999086107489895,2.253247697023972e-05,3.231042158594084e-05,5.287116056285889e-05,0.000285109544652326,2.7853573479434922e-06,4.09069706001901e-06,5.810718272623161e-06,3.440110229979156e-05,0.4732644677960079,0.4561732861777083,0.5010030402013019,0.6087506132589491,0.6236722520584305,0.5247005478940803,0.6241549721227351,0.6726160600770765,0.5315162652489172,0.03399433427762044,1.4459729217917827e-08,0.13505747126436785,0.6574021317694798,0.9091477640096298,0.9443921103183216,0.991322281475268,0.03271740102974141,0.7742293794064823,0.00010288422636382863,0.014218478079586021,0.028608823353675504,0.3180468304141255,0.6021082858055007,0.010468511112625103,0.5875755478872374,0.3180468304020883,0.999999999999999,6.003803170824426e-10,1.1393068147364328e-09,9.644978763242697e-13,2.9866418572352907e-05,1.2691630773897585e-12,2.6044252928812077e-05,1.2198209625376958e-12,2.7873860795243826e-05,1e-12,0.18544600939048592,1e-12,1e-12,0.18544600939048592,1e-12
1,1,8,0.0,0.43222966728834833,0.09318145469902382,0.4444444444444445,0.5608272082573957,0.00018683997466545417,2.1681179062294954e-08,6.419254528031605e-09,2.1674459518639837e-05,0.7257336923202661,0.9999999999999953,6.688554993471455e-13,0.999999999999998,0.1661807580174927,0.06521739130434782,0.13124871531346352,0.43529411764705883,0.027196652719665308,0.323957229553993,0.6656976744186047,0.06158357771260995,0.2949453680433293,1.7400380240714e-06,2.297195207672428e-06,3.5219065316853557e-06,2.888289289835498e-05,4.008055833128645e-07,5.229197143548952e-07,6.849282185232031e-07,5.593699776777305e-06,0.4724657442228054,0.45522155937546444,0.4999496771618196,0.6073944315024693,0.6290334253517246,0.5329658776024653,0.6317890238046966,0.6831481032190465,0.4487140993765977,0.039660056657223886,1.089022962263733e-09,0.0919540229885058,0.6574021317694798,0.9539734368870522,0.9766235070771979,0.9912157555985983,0.03580618736154412,0.7949175569095168,8.308940428510895e-06,0.003546903512245441,0.006348814492858089,0.19077165380480818,0.5275862431809515,0.004737486727096756,0.5852100348634081,0.19077165381297553,0.9999999999999993,5.807000592833517e-10,1.0715804893491969e-09,6.087418834285547e-15,2.066589172382345e-06,6.440818862998152e-15,1.5490531199472156e-06,4.12344305517638e-15,1.6204030831635505e-06,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,9,0.0,0.4528349815670242,0.10023453293794231,0.5555555555555556,0.7782178563214707,0.00018684603787962918,1.642238664644828e-08,7.786627289563764e-09,4.291721415286618e-05,0.84903777946951,0.9999999999999941,1.3245680543198671e-12,0.9999999999999992,0.15451895043731773,0.07246376811594207,0.11245912361020274,0.4147058823529412,0.07112970711297076,0.1404414870362274,0.6395348837209303,0.055718475073313824,0.30672775824441667,4.815436371792209e-06,8.948570321181088e-06,1.772157573416796e-05,0.00010686469042632383,6.864086426162377e-07,1.3004238286254029e-06,2.2995891140547222e-06,1.6900549144776744e-05,0.48347704161593213,0.4682825847793805,0.5142971814963756,0.6248447910855819,0.6267314071780639,0.529416615698722,0.6285108054741191,0.6786203135571771,0.45486677405201026,0.031161473087818706,1.6003103137383484e-08,0.09770114942528735,0.6574021317694798,0.9075902904714545,0.9582926732677232,0.9904585444842899,0.0123234961958682,0.8014450726925526,2.2906075305066667e-05,0.007600799852806064,0.014083933280412776,0.07102943660784372,0.46935545236074033,0.002482516455758186,0.5835130783596707,0.07102943662073068,0.9999999999999992,5.632555894562991e-10,1.040349113891424e-09,6.191989850506217e-14,6.373514414154666e-06,5.78619855116329e-14,5.40665786400814e-06,6.264900115537871e-14,6.692850323907886e-06,1e-12,0.00469483568174648,1e-12,1e-12,0.00469483568174648,1e-12
