evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_ratio ps_squared loglikelihood mhl_norm mhl_sum x0 x1 x2 x3 x4
1 137.6115552761 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.528105 0.800314 1.957476 4.481786 3.735116
2 311.0650331251 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -1.954556 1.900177 -0.302714 -0.206438 0.821197
3 290.4222713740 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.288087 2.908547 1.522075 0.243350 0.887726
4 326.7085496424 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.667349 2.988158 -0.410317 0.626135 -1.708191
5 616.4037733289 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -5.000000 1.307237 1.728872 -1.484330 4.539509
6 185.4965701817 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.908731 0.091517 -0.374368 3.065558 2.938718
7 1802.0609445434 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.309895 0.756325 -1.775571 -3.961593 -0.695824
8 439.6798077092 0.0000000000 1.0000000000 2.0000000000 0.0000000000 2.2360679775 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.312698 2.460581 2.404760 -0.774654 -0.604606
9 92.0654347490 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 -2.791574 4.759239 2.025365 5.000000 3.067122
10 328.7639369760 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 1.497884 -1.603515 4.967397 2.778747 3.279393
11 325.2471098977 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 1.649621 1.979012 3.007392 0.976310 3.777687
12 143.0391486052 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 2.630348 0.153161 1.678325 3.259766 3.148519
13 421.5291272781 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 1.697773 1.759055 4.597373 1.027614 2.401762
14 167.6443313719 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 0.178871 -1.055387 4.495277 3.648605 2.488341
15 329.5230725912 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 2.772291 -2.057320 1.467221 1.687196 2.260622
16 48.5191860516 0.0000000000 1.0000000000 2.2242002848 1.0000000000 2.1170048150 0.9445941024 2.9741359093 1.1630117420 0.0000000000 0.0000000000 1.3972763523 8.8454844067 -95.1225737430 7.6751553881 20.6635826649 -0.152344 1.660434 3.337247 3.322937 2.655157
17 90.3902098079 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 0.947705 5.000000 3.645950 5.000000 2.006414
18 106.1918281867 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 -1.480510 5.000000 4.523327 3.901962 5.000000
19 132.2370774511 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 2.776465 3.358835 1.195724 3.094662 3.518164
20 101.7660176436 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 -1.264644 3.157965 -0.432461 5.000000 5.000000
21 351.0029522929 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 -2.611671 -1.680476 4.255385 -0.037716 4.807619
22 231.3589308405 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 2.042811 0.350813 3.946342 2.900539 5.000000
23 863.8240910488 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 1.323579 1.558900 2.454370 -1.045929 5.000000
24 146.1348813662 0.0000000000 1.0000000000 2.4220079712 2.0000000000 2.0678363421 0.9214964080 2.8065997202 1.0161652886 1.5454924671 0.2869055156 1.3185663127 7.8770019893 -81.1725457097 5.1096120611 13.8796932403 1.615816 3.853507 2.870644 3.309659 5.000000
25 99.0779848540 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 -0.168954 2.905739 4.558594 5.000000 5.000000
26 206.5678568321 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 2.059147 1.375410 5.000000 3.532865 3.957412
27 92.5004473570 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 -0.007282 4.719814 2.256117 5.000000 1.109135
28 78.0782342015 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 -0.788977 5.000000 3.505698 5.000000 3.577314
29 310.4637598854 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 4.151749 -0.676518 0.431484 2.324550 1.978207
30 65.4836455074 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 -3.112584 2.540498 5.000000 2.609024 2.491416
31 100.6509126133 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 -0.346772 5.000000 1.225456 2.389480 0.607964
32 122.0520994741 0.0000000000 1.0000000000 2.4048498171 3.0000000000 1.9843000604 0.8839456323 2.0719416445 0.7491003467 1.2824028897 0.2659261770 0.9734172047 4.2929421783 -77.2792131200 4.8373097361 13.2058037133 -1.254682 5.000000 1.335102 3.697762 -0.619097
33 69.3366596168 0.0000000000 1.0000000000 2.2212493891 4.0000000000 1.9047696948 0.8474789323 1.4964639299 0.3440429376 1.1021400333 0.0115191719 0.7030524916 2.2394042936 -72.2846071038 5.0059064081 13.5252791824 -2.079631 1.808751 5.000000 5.000000 4.182933
34 152.6803930545 0.0000000000 1.0000000000 2.2212493891 4.0000000000 1.9047696948 0.8474789323 1.4964639299 0.3440429376 1.1021400333 0.0115191719 0.7030524916 2.2394042936 -72.2846071038 5.0059064081 13.5252791824 -2.652397 2.144186 1.880824 1.839709 -0.458086
35 71.3071918311 0.0000000000 1.0000000000 2.2212493891 4.0000000000 1.9047696948 0.8474789323 1.4964639299 0.3440429376 1.1021400333 0.0115191719 0.7030524916 2.2394042936 -72.2846071038 5.0059064081 13.5252791824 0.225256 3.677060 5.000000 5.000000 2.078977
36 64.9766227486 0.0000000000 1.0000000000 2.2212493891 4.0000000000 1.9047696948 0.8474789323 1.4964639299 0.3440429376 1.1021400333 0.0115191719 0.7030524916 2.2394042936 -72.2846071038 5.0059064081 13.5252791824 -0.665111 3.642738 2.356760 3.872572 1.365191
37 119.8591079446 0.0000000000 1.0000000000 2.2212493891 4.0000000000 1.9047696948 0.8474789323 1.4964639299 0.3440429376 1.1021400333 0.0115191719 0.7030524916 2.2394042936 -72.2846071038 5.0059064081 13.5252791824 0.853580 5.000000 0.093848 4.660000 4.085638
